player_name,hand,height_cm,wingspan_cm,nationality
Felix Auger Aliassime,R,193.0,,CAN
Felix Mantilla,R,180.0,,ESP
Fernando Gonzalez,R,183.0,,CHI
Fernando Meligeni,L,180.0,,BRA
Fernando Roese,R,190.0,,BRA
Fernando Verdasco,L,188.0,193.0,ESP
Fernando Vicente,R,180.0,,ESP
Fernon Wibier,R,188.0,,NED
Filip Dewulf,R,190.0,,BEL
Filip Krajinovic,R,185.0,,SRB
Filip Peliwo,R,180.0,,POL
Filippo Baldi,R,183.0,,ITA
Filippo Volandri,R,183.0,,ITA
Flavio Cipolla,R,173.0,,ITA
Flavio Cobolli,R,183.0,,ITA
Flavio Saretta,R,183.0,,BRA
Florent Serra,R,180.0,,FRA
Florian Mayer,R,190.0,,GER
Frances Tiafoe,R,188.0,186.0,USA
Francesco Cancellotti,R,183.0,,ITA
Francesco Passaro,R,180.0,,ITA
Francisco Cerundolo,R,185.0,,ARG
Francisco Clavet,L,183.0,,ESP
Francisco Montana,R,183.0,,USA
Francisco Roig,R,175.0,,ESP
Franco Davin,L,173.0,,ARG
Franco Squillari,L,183.0,,ARG
Frank Dancevic,R,185.0,,CAN
Frederic Fontang,R,183.0,,FRA
Frederic Niemeyer,R,190.0,,CAN
Frederico Gil,R,178.0,,POR
Frederik Fetterlein,R,190.0,,DEN
Fredrik Jonsson,R,193.0,,SWE
Gabriel Diallo,R,203.0,,CAN
Gabriel Markus,R,180.0,,ARG
Gabriel Silberstein,R,178.0,,CHI
Gael Monfils,R,193.0,190.0,FRA
Galo Blanco,R,173.0,,ESP
Gary Muller,L,190.0,,RSA
Gastao Elias,R,180.0,,POR
Gaston Etlis,R,185.0,,ARG
Gaston Gaudio,R,175.0,,ARG
Geoff Grant,R,183.0,,USA
George Bastl,R,183.0,,SUI
Gerard Solves,R,185.0,,FRA
German Lopez,R,193.0,,ESP
Gianluca Mager,R,188.0,,ITA
Gianluca Naso,R,193.0,,ITA
Gianluca Pozzi,L,180.0,,ITA
Gilad Bloom,L,173.0,,ISR
Gilbert Schaller,R,180.0,,AUT
Gilles Muller,L,193.0,,LUX
Gilles Simon,R,183.0,,FRA
Giorgio Galimberti,R,180.0,,ITA
Giovanni Lapentti,R,193.0,,ECU
Giovanni Mpetshi Perricard,R,203.0,,FRA
Girts Dzelde,R,173.0,,LAT
Giulio Zeppieri,L,183.0,,ITA
Glenn Layendecker,L,185.0,,USA
Glenn Michibata,R,175.0,,CAN
Glenn Weiner,R,188.0,,USA
Go Soeda,R,178.0,,JPN
Goran Ivanisevic,L,193.0,193.0,CRO
Goran Prpic,R,180.0,,CRO
Gorka Fraile,R,180.0,,ESP
Grant Connell,L,185.0,,CAN
Grant Doyle,R,180.0,,AUS
Grant Stafford,R,188.0,,RSA
Greg Rusedski,L,193.0,,GBR
Grega Zemlja,R,183.0,,SLO
Gregoire Barrere,R,183.0,,FRA
Gregory Carraz,R,190.0,,FRA
Grigor Dimitrov,R,191.0,188.0,BUL
Guido Andreozzi,R,183.0,,ARG
Guido Pella,L,183.0,,ARG
Guillaume Marx,R,,,FRA
Guillaume Raoux,R,180.0,,FRA
Guillaume Rufin,R,188.0,,FRA
Guillermo Canas,R,185.0,,ARG
Guillermo Coria,R,175.0,,ARG
Guillermo Garcia Lopez,R,188.0,,ESP
Guillermo Perez Roldan,R,178.0,,ARG
Gustavo Kuerten,R,190.0,195.0,BRA
Guy Forget,L,190.0,,FRA
Hamad Medjedovic,R,188.0,,SRB
Harel Levy,R,185.0,,ISR
Harold Mayot,R,180.0,,FRA
Harold Solomon,R,168.0,,USA
Hendrik Dreekmann,R,188.0,,GER
Hendrik Jan Davids,L,183.0,,NED
Henri Laaksonen,R,185.0,,SUI
Henri Leconte,L,185.0,,FRA
Henrik Holm,R,183.0,,SWE
